OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,latitude,longitude
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,307,3.007333,36.5378651,-95.2213580
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.287333,44.0192074,-90.5019484
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899000,32.9303784,-112.6731472
20,PILOT #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899000,32.9300064,-112.6728429
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.399000,35.3880338,-94.4265011
35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.079000,40.9226650,-75.0900115
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.899000,38.7459482,-78.6422377
44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,595,2.919000,30.7748123,-97.6274636
46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,720,3.154000,32.3948615,-85.9169020
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959000,38.8826937,-85.8187800
50,TA COUNCIL BLUFFS TRAVEL CENTER,"I-29 & I-80, EXIT 3",Council Bluffs,IA,319,3.725667,41.2588410,-95.8519484
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,390,3.515667,46.8138780,-100.2915000
75,Good 2 Go #709,US-50,Montrose,CO,810,3.424000,38.4861450,-107.8668609
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,243,3.229000,38.5873093,-75.5730556
79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle,DE,243,3.249000,39.6159851,-75.6629560
81,One9 #89,"I-75, EXIT 224",Ellenton,FL,225,3.439000,27.5171430,-82.5487080
85,DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,800,3.459000,39.7646887,-105.6003370
91,MOLLYS FOOD & FUEL,"I-20 & ST 22, EXIT 55",Crawfordville,GA,135,3.499000,33.5539938,-82.8961899
